title,link,abstract,authors,created
Recommendations for repositories and scientific gateways from a neuroscience perspective,/article/10.1038/s41597-022-01334-1,"Digital services such as repositories and science gateways have become key resources for the neuroscience community, but users often have a hard time orienting themselves in the service landscape to find the best fit for their particular needs. INCF has developed a set of recommendations and associated criteria for choosing or setting up and running a repository or scientific gateway, intended for the neuroscience community, with a FAIR neuroscience perspective.","Malin Sandström, Mathew Abrams, ... Wojtek J. Goscinski",2022-05-16
"Early, low-dose hydrocortisone and near-term brain connectivity in extremely preterm infants",/article/10.1038/s41390-023-02903-9,Postnatal steroids are used to prevent bronchopulmonary dysplasia in extremely preterm infants but may have adverse effects on brain development. We assessed connectivity metrics of major cerebral and cerebellar white matter pathways at near-term gestational age among infants who did or did not receive a standardized regimen of hydrocortisone during the first 10 days of life.,"Sarah E. Dubner, Lucy Rickerich, ... Katherine E. Travis",2023-11-29
Correlation of the Karolinska Sleepiness with Behavioral Measures of a Monotonous Bimanual Psychomotor Rest,/article/10.1007/s11055-023-01547-w,"Objectives. To assess the objectivity of measurements of the level of drowsiness in subjects using a previously developed monotonous psychomotor bimanual tapping test performed on mobile devices running Android OS. Materials and methods. A total of 494 1-h experiments were run in 102 students using a psychomotor test. Correlations between sleepiness levels on the Karolinska Sleepiness Scale (KSS) and the Epworth Sleepiness Scale (ESS) and behavioral test scores were assessed using linear mixed models. Results. Statistically significant relationships were demonstrated between increases in KSS scores and indicators such as decreases in the total number of button presses and increases in the frequency of microsleep episodes. There were no statistically significant relationships between ESS scores and performance on behavioral tests. Conclusions. studies using a large statistical dataset showed significant correlations between psychomotor test parameters and the level of drowsiness on the KSS, which supports the validity of a mobile app which has been developed to determine ongoing drowsiness/vigilance levels in the field.","A. E. Manaenkov, N. O. Prokhorenko, ... V. B. Dorokhov",2023-11-01
Enhancing the cryptographic key using sample entropy and whale optimization algorithm,/article/10.1007/s41870-023-01526-x,"Internet-of-Things (IoT) is one of the most rapidly developing technologies of the twenty-first century. With the invention of 5G technology and the support of the fog-cloud paradigm, IoT has boosted its growth exponentially. Billions of IoT devices exchange data every second, putting data security and privacy at risk and leading to the development of various cryptographic algorithms yearly. A cryptographic key is essential to any cryptographic algorithm, which should be highly randomized and unpredictable. This paper suggests a novel algorithm SampEn-WOA to generate cryptographic keys by utilizing sample entropy, V-Type transfer function, and whale optimization algorithm (WOA). The cryptographic keys of various lengths are generated for the state-of-the-art algorithms, namely advanced encryption standard (AES), SIMON, data encryption standard (DES), SPECK, 3DES, and PRESENT Ciphers. A comparison study is also performed to evaluate the strength of cryptographic keys of various lengths based on sample entropy and approximate entropy. The results are promising and suggest using SampEn-WOA for various state-of-the-art cryptographic algorithms.","Md Saquib Jawed, Mohammad Sajid",2023-10-03
Constructing the rodent stereotaxic brain atlas: a survey,/article/10.1007/s11427-020-1911-9,"The stereotaxic brain atlas is a fundamental reference tool commonly used in the field of neuroscience. Here we provide a brief history of brain atlas development and clarify three key conceptual elements of stereotaxic brain atlasing: brain image, atlas, and stereotaxis. We also refine four technical indices for evaluating the construction of atlases: the quality of staining and labeling, the granularity of delineation, spatial resolution, and the precision of spatial location and orientation. Additionally, we discuss state-of-the-art technologies and their trends in the fields of image acquisition, stereotaxic coordinate construction, image processing, anatomical structure recognition, and publishing: the procedures of brain atlas illustration. We believe that the use of single-cell resolution and micron-level location precision will become a future trend in the study of the stereotaxic brain atlas, which will greatly benefit the development of neuroscience.","Zhao Feng, Anan Li, ... Qingming Luo",2021-04-13
AI researchers wanted in Germany,https://www.nature.com/articles/d42473-020-00470-9,,,2020-12-09
DeepSlice: rapid fully automatic registration of mouse brain imaging to a volumetric atlas,/article/10.1038/s41467-023-41645-4,"Registration of data to a common frame of reference is an essential step in the analysis and integration of diverse neuroscientific data. To this end, volumetric brain atlases enable histological datasets to be spatially registered and analyzed, yet accurate registration remains expertise-dependent and slow. In order to address this limitation, we have trained a neural network, DeepSlice, to register mouse brain histological images to the Allen Brain Common Coordinate Framework, retaining registration accuracy while improving speed by >1000 fold.","Harry Carey, Michael Pegios, ... Simon McMullan",2023-09-21
qMRI-BIDS: An extension to the brain imaging data structure for quantitative magnetic resonance imaging data,/article/10.1038/s41597-022-01571-4,"The Brain Imaging Data Structure (BIDS) established community consensus on the organization of data and metadata for several neuroimaging modalities. Traditionally, BIDS had a strong focus on functional magnetic resonance imaging (MRI) datasets and lacked guidance on how to store multimodal structural MRI datasets. Here, we present and describe the BIDS Extension Proposal 001 (BEP001), which adds a range of quantitative MRI (qMRI) applications to the BIDS. In general, the aim of qMRI is to characterize brain microstructure by quantifying the physical MR parameters of the tissue via computational, biophysical models. By proposing this new standard, we envision standardization of qMRI through multicenter dissemination of interoperable datasets. This way, BIDS can act as a catalyst of convergence between qMRI methods development and application-driven neuroimaging studies that can help develop quantitative biomarkers for neural tissue characterization. In conclusion, this BIDS extension offers a common ground for developers to exchange novel imaging data and tools, reducing the entrance barrier for qMRI in the field of neuroimaging.","Agah Karakuzu, Stefan Appelhoff, ... Gilles de Hollander",2022-08-24
Research progress of neurodynamics in China,/article/10.1007/s11571-021-09665-2,"Since Professor Walter Freeman, a molecular neurobiologist from University of Berkeley, put forward the concept of neurodynamics over 20 years ago (Freeman 2000), the usage of dynamics theories and methods to study cognitive and nervous system activities has become a new field of research (Basar 1998,2011; Tass 1999; Wang et al. 2015; Wang and Wang 2018; Ravishankar Rao 2018; Haken 1996; Kawato 2000; Takeda 1999; David and Laughlin 2009; Abbott 2008).
 Research on the topic has sprung up like bamboo shoots. Neurodynamics is more often called computational neuroscience in Europe and the United States, and it is named neuromechanics in Japan (Takeda 1999). Neuroscientists in experimental fields prefer the term neuroinformatics’ to describe the basic law of neural information processing qualitatively or quantitatively (Ascoli 2016; Schutter 2016; Raichle and Gusnard 2002). But no matter what name we use, the basic fact remains that neuroscientists and scientists and engineers in the field of artificial intelligence have realized that the development of cognitive neuroscience not only depends on the progress of experimental techniques and data more and more, but also needs to understand and mine underlying principles of dynamical signal processing and transmission in brain networks and the internal mechanism of neural coding distribution mode. The laws and essences behind the vast amount of experimental data, enable us to understand and master the brain's operational methods and the pathogenesis of various brain diseases. An accurate prediction for patients with potential degenerative brain diseases can also be made possible (Laughlin 2001; Chen et al. 2014).","Rubin Wang, Xiaochuan Pan",2021-02-27
Pre- and post-surgery brain tumor multimodal magnetic resonance imaging data optimized for large scale computational modelling,/article/10.1038/s41597-022-01806-4,"We present a dataset of magnetic resonance imaging (MRI) data (T1, diffusion, BOLD) acquired in 25 brain tumor patients before the tumor resection surgery, and six months after the surgery, together with the tumor masks, and in 11 controls (recruited among the patients’ caregivers). The dataset also contains behavioral and emotional scores obtained with standardized questionnaires. To simulate personalized computational models of the brain, we also provide structural connectivity matrices, necessary to perform whole-brain modelling with tools such as The Virtual Brain. In addition, we provide blood-oxygen-level-dependent imaging time series averaged across regions of interest for comparison with simulation results. An average resting state hemodynamic response function for each region of interest, as well as shape maps for each voxel, are also contributed.","Hannelore Aerts, Nigel Colenbier, ... Daniele Marinazzo",2022-11-05
"Towards automated writing evaluation: A comprehensive review with bibliometric, scientometric, and meta-analytic approaches",/article/10.1007/s10639-024-12596-0,"The new era of generative artificial intelligence has sparked the blossoming academic fireworks in the realm of education and information technologies. Driven by natural language processing (NLP), automated writing evaluation (AWE) tools become a ubiquitous practice in intelligent computer-assisted language learning (CALL) environments. Based on the self-set corpus of the plain text file encompassing 1524 documents from the Web of Science core collection, the current study adopts quantitative and qualitative methods and integrates bibliometric, scientometric, and meta-analytic approaches aiming to comprehensively review automated writing evaluation (AWE) over fifteen years from 2008 to 2023. Feedback literacy is the theoretical framework of automated written corrective feedback (AWCF). Through VOSviewer, this study bibliographically visualized AWE-relevant keywords, documents, authors, organizations, and regions at a macro level. Science mapping analysis (SMA), mapping knowledge domain (MKD), and author co-citation analysis (ACA) are the theoretical foundations of visualization on VOSviewer. Through Stata/SE 16 and SPSS 29, this study meta-analytically investigated moderator effects of various AWE tools, feedback types, intervention duration, target language learners, educational levels, genres of writing, regions, document types, and publication year at a micro level. It is concluded that AWE tools could facilitate writing proficiency at a statistical significance level (SMD = 0.422, p < 0.001) based on 29 experimental studies. The findings illuminate future research directions and provide heuristic implications for practitioners, researchers, and AWE technology developers.",Yi Xue,2024-03-23
Research on recognition of O-MI based on CNN combined with SST and LSTM,/article/10.1007/s11801-022-2054-1,"Recognition algorithms have been widely used in brain computer interface (BCI) for neural paradigms classification. To improve the classification and recognition effect of motor imagery with motor observation (O-MI) in BCI rehabilitation technology, this paper explores the function of convolutional neural network (CNN) combined with synchrosqueezed wavelet transform (SST) and long short-term memory (LSTM) in the recognition and classification of neural activities in the brain motor area. Combining the advantages of SST in signal feature extraction in the pretreatment stage and the ability of LSTM network in time series information modeling, the purpose is to make up for CNN’s shortcomings in both aspects. This paper verifies the algorithm on the self-collected O-MI experimental datasets and the public datasets (BCI competition IV datasets 2a). The results show that the composite CNN algorithm incorporating SST and LSTM achieves higher classification accuracy than classic algorithms and the similar new method which is CNN combined with discrete wavelet transform (DWT) and power spectral density (PSD), so it is convenient for practical application in O-MI BCI system.","Penghai Li, Cong Liu",2022-09-17
Federated Analysis of Neuroimaging Data: A Review of the Field,/article/10.1007/s12021-021-09550-7,"The field of neuroimaging has embraced sharing data to collaboratively advance our understanding of the brain. However, data sharing, especially across sites with large amounts of protected health information (PHI), can be cumbersome and time intensive. Recently, there has been a greater push towards collaborative frameworks that enable large-scale federated analysis of neuroimaging data without the data having to leave its original location. However, there still remains a need for a standardized federated approach that not only allows for data sharing adhering to the FAIR (Findability, Accessibility, Interoperability, Reusability) data principles, but also streamlines analyses and communication while maintaining subject privacy. In this paper, we review a non-exhaustive list of neuroimaging analytic tools and frameworks currently in use. We then provide an update on our federated neuroimaging analysis software system, the Collaborative Informatics and Neuroimaging Suite Toolkit for Anonymous Computation (COINSTAC). In the end, we share insights on future research directions for federated analysis of neuroimaging data.","Kelly Rootes-Murdy, Harshvardhan Gazula, ... Vince Calhoun",2021-11-22
Subjective Time: Nature and Neurobiological Mechanisms,/article/10.1007/s11055-022-01336-x,"This article addresses the nature and neurobiological mechanisms of subjective time. Subjective time is shown to be a consequence of the functioning of consciousness. Subjective time is generated by consciousness and is one of its natural properties. A formal model is constructed providing explanations of the psychophysiological mechanisms of subjective time and the still mysterious phenomena which it generates. The qualitative characteristics of subjective time are formulated and are in good correspondence with extensive experimental data on the perception of short time intervals (stimulus durations and interstimulus intervals) and unusual phenomena occurring only episodically. Subjective time is a separate entity not directly dependent on physical time, though it may be associated with it via the intensity of the subject’s mental activity.",V. Ya. Sergin,2022-09-01
Perspectives for the Use of a Multiomics Approach for Finding New Diagnostic Associations and Therapeutic Targets in Multiple Sclerosis,/article/10.1007/s11055-023-01368-x,"Multiple sclerosis (MS) is an extremely heterogeneous disease and, despite many studies, selective biomarkers have not been identified for this pathology, so its early diagnosis remains difficult. The multiomics approach provides a powerful tool for studying the pathogenesis of MS, allowing the most detailed and versatile characterization of the cells involved in the development of disease symptoms. This review describes current directions of research in MS using high-performance technologies, and also assesses the relevance of the multiomics approach.",M. V. Saliutina,2022-11-01
The evolution of Big Data in neuroscience and neurology,/article/10.1186/s40537-023-00751-2,"Neurological diseases are on the rise worldwide, leading to increased healthcare costs and diminished quality of life in patients. In recent years, Big Data has started to transform the fields of Neuroscience and Neurology. Scientists and clinicians are collaborating in global alliances, combining diverse datasets on a massive scale, and solving complex computational problems that demand the utilization of increasingly powerful computational resources. This Big Data revolution is opening new avenues for developing innovative treatments for neurological diseases. Our paper surveys Big Data’s impact on neurological patient care, as exemplified through work done in a comprehensive selection of areas, including Connectomics, Alzheimer’s Disease, Stroke, Depression, Parkinson’s Disease, Pain, and Addiction (e.g., Opioid Use Disorder). We present an overview of research and the methodologies utilizing Big Data in each area, as well as their current limitations and technical challenges. Despite the potential benefits, the full potential of Big Data in these fields currently remains unrealized. We close with recommendations for future research aimed at optimizing the use of Big Data in Neuroscience and Neurology for improved patient outcomes.","Laura Dipietro, Paola Gonzalez-Mego, ... Timothy Wagner",2023-07-10
Single stain hyperspectral imaging for accurate fungal pathogens identification and quantification,/article/10.1007/s12274-021-3776-2,"The most widely used method of identification of microbial morphology and structure is microscopy, but it can be difficult to distinguish between pathogens with a similar appearance. Existing fluorescent staining methods require a combination of a variety of fluorescent materials to meet this demand. In this study, unique concentration-dependent fluorescent carbon dots (CDs) were synthesized for the identification and quantification of pathogens. The emission wavelength of the CDs could be tuned spanning the full visible region by virtue of aggregation-induced narrowing of bandgaps. This tunable emission wavelength of the specific concentration response to diverse microbes can be used to distinguish microorganisms with a similar appearance, even in a same genus. A hyperspectral microscopy system was demonstrated to distinguish Aspergillus flavus and A. fumigatus based on the results above. The identification accuracy of the two similar-looking pathogens can be close to 100%, and the relative proportions and spatial distributions can also be profiled from the mixture of the pathogens. This technique can provide a solution to the fast detection of microorganisms and is potentially applicable to a wide range of problems in areas such as healthcare, food preparation, biotechnology, and health emergency.","Yongqiang Zhang, Kunxing Liu, ... Siyu Lu",2021-09-06
30th Annual Computational Neuroscience Meeting: CNS*2021–Meeting Abstracts,/article/10.1007/s10827-021-00801-9,"K1 The cerebral cortex, a delay coupled oscillator network: Computations in high dimensional dynamic space",,2021-12-21
Decomposition Method for Calculating the Weights of a Binary Neural Network,/article/10.1007/s10559-023-00522-0,"A method for determining the weights of a binary neural network based on its decomposition into elementary modules is presented. The approach allows tuning the weight coefficients of all the network connections at the stage of its designing, which eliminates the implementation of time-consuming iterative algorithms for training the network during its operation. An algorithm and an example of calculating the weights are given.","A. Litvinenko, D. Kucherov, M. Glybovets",2022-11-01
brainlife.io: a decentralized and open-source cloud platform to support neuroscience research,https://www.nature.com/articles/s41592-024-02237-2,"Neuroscience is advancing standardization and tool development to support rigor and transparency. Consequently, data pipeline complexity has increased, hindering FAIR (findable, accessible, interoperable and reusable) access. brainlife.io was developed to democratize neuroimaging research. The platform provides data standardization, management, visualization and processing and automatically tracks the provenance history of thousands of data objects. Here, brainlife.io is described and evaluated for validity, reliability, reproducibility, replicability and scientific utility using four data modalities and 3,200 participants.","Soichi Hayashi, Bradley A. Caron, ... Franco Pestilli",2024-04-11
Turning the Tide of Data Sharing,/article/10.1007/s12021-019-09437-8,"For the neuroscience ecosystem surrounding digital reconstructions of neuronal morphology, I predict that the past year will be remembered as a glorious time. The centrally curated community repository NeuroMorpho.OrgFootnote 1 passed the landmark quota of 100,000 downloadable tracings in version 7.6 (end of November 2018), more than doubling from the 50 k milestone reached only 24 months before.Footnote 2 Considering that this database launched in 2006 with (what then appeared the impressive number of) 1000 neurons,Footnote 3 and that it took all of seven years to add the next 9000, the acceleration is impressive (Fig.1). The pivoting phase transition occurred around the second half of 2014: until then NeuroMorpho.Org averaged 1250 additional reconstructions per year; afterwards, roughly 20,000. What triggered such a whopping 16-fold-factor?",Giorgio A. Ascoli,2019-10-14
Intracranial electrophysiological recordings from the human brain during memory tasks with pupillometry,/article/10.1038/s41597-021-01099-z,"Data comprise intracranial EEG (iEEG) brain activity represented by stereo EEG (sEEG) signals, recorded from over 100 electrode channels implanted in any one patient across various brain regions. The iEEG signals were recorded in epilepsy patients (N = 10) undergoing invasive monitoring and localization of seizures when they were performing a battery of four memory tasks lasting approx. 1 hour in total. Gaze tracking on the task computer screen with estimating the pupil size was also recorded together with behavioral performance. Each dataset comes from one patient with anatomical localization of each electrode contact. Metadata contains labels for the recording channels with behavioral events marked from all tasks, including timing of correct and incorrect vocalization of the remembered stimuli. The iEEG and the pupillometric signals are saved in BIDS data structure to facilitate efficient data sharing and analysis.","Jan Cimbalnik, Jaromir Dolezal, ... Michal Kucewicz",2022-01-13
Discovery of the mechanisms of acupuncture in the treatment of migraine based on functional magnetic resonance imaging and omics,/article/10.1007/s11684-023-0989-7,"Migraine is one of the most prevalent and disabling neurological disease, but the current pharmacotherapies show limited efficacy and often accompanied by adverse effects. Acupuncture is a promising complementary therapy, but further clinical evidence is needed. The influence of acupuncture on migraine is not an immediate effect, and its mechanism remains unclear. This study aims to provide further clinical evidence for the anti-migraine effects of acupuncture and explore the mechanism involved. A randomized controlled trial was performed among 10 normal controls and 38 migraineurs. The migraineurs were divided into blank control, sham acupuncture, and acupuncture groups. Patients were subjected to two courses of treatment, and each treatment lasted for 5 days, with an interval of 1 day between the two courses. The effectiveness of treatment was evaluated using pain questionnaire. The functional magnetic resonance imaging (fMRI) data were analyzed for investigating brain changes induced by treatments. Blood plasma was collected for metabolomics and proteomics studies. Correlation and mediation analyses were performed to investigate the interaction between clinical, fMRI and omics changes. Results showed that acupuncture effectively relieved migraine symptoms in a way different from sham acupuncture in terms of curative effect, affected brain regions, and signaling pathways. The anti-migraine mechanism involves a complex network related to the regulation of the response to hypoxic stress, reversal of brain energy imbalance, and regulation of inflammation. The brain regions of migraineurs affected by acupuncture include the lingual gyrus, default mode network, and cerebellum. The effect of acupuncture on patients’ metabolites/proteins may precede that of the brain.","Chong Li, Xinyi Li, ... Guihua Tian",2023-06-30
Assisted neuroscience knowledge extraction via machine learning applied to neural reconstruction metadata on NeuroMorpho.Org,/article/10.1186/s40708-022-00174-4,"The amount of unstructured text produced daily in scholarly journals is enormous. Systematically identifying, sorting, and structuring information from such a volume of data is increasingly challenging for researchers even in delimited domains. Named entity recognition is a fundamental natural language processing tool that can be trained to annotate, structure, and extract information from scientific articles. Here, we harness state-of-the-art machine learning techniques and develop a smart neuroscience metadata suggestion system accessible by both humans through a user-friendly graphical interface and machines via Application Programming Interface. We demonstrate a practical application to the public repository of neural reconstructions, NeuroMorpho.Org, thus expanding the existing web-based metadata management system currently in use. Quantitative analysis indicates that the suggestion system reduces personnel labor by at least 50%. Moreover, our results show that larger training datasets with the same software architecture are unlikely to further improve performance without ad-hoc heuristics due to intrinsic ambiguities in neuroscience nomenclature. All components of this project are released open source for community enhancement and extensions to additional applications.","Kayvan Bijari, Yasmeen Zoubi, Giorgio A. Ascoli",2022-11-07
Behavioural relevance of redundant and synergistic stimulus information between functionally connected neurons in mouse auditory cortex,/article/10.1186/s40708-023-00212-9,"Measures of functional connectivity have played a central role in advancing our understanding of how information is transmitted and processed within the brain. Traditionally, these studies have focused on identifying redundant functional connectivity, which involves determining when activity is similar across different sites or neurons. However, recent research has highlighted the importance of also identifying synergistic connectivity—that is, connectivity that gives rise to information not contained in either site or neuron alone. Here, we measured redundant and synergistic functional connectivity between neurons in the mouse primary auditory cortex during a sound discrimination task. Specifically, we measured directed functional connectivity between neurons simultaneously recorded with calcium imaging. We used Granger Causality as a functional connectivity measure. We then used Partial Information Decomposition to quantify the amount of redundant and synergistic information about the presented sound that is carried by functionally connected or functionally unconnected pairs of neurons. We found that functionally connected pairs present proportionally more redundant information and proportionally less synergistic information about sound than unconnected pairs, suggesting that their functional connectivity is primarily redundant. Further, synergy and redundancy coexisted both when mice made correct or incorrect perceptual discriminations. However, redundancy was much higher (both in absolute terms and in proportion to the total information available in neuron pairs) in correct behavioural choices compared to incorrect ones, whereas synergy was higher in absolute terms but lower in relative terms in correct than in incorrect behavioural choices. Moreover, the proportion of redundancy reliably predicted perceptual discriminations, with the proportion of synergy adding no extra predictive power. These results suggest a crucial contribution of redundancy to correct perceptual discriminations, possibly due to the advantage it offers for information propagation, and also suggest a role of synergy in enhancing information level during correct discriminations.","Loren Koçillari, Marco Celotto, ... Stefano Panzeri",2023-12-05
Autoidentification and Sensorimotor Rehearsal as Physiological Mechanisms of Consciousness,/article/10.1007/s11055-021-01118-x,"This article addresses the nature and neurophysiological mechanisms of sensory awareness, conscious perception, generation of thought, imagination, intuition, and discursive thought. Sensory awareness and thought generation have been shown to be based on high-frequency cyclic autoidentification processes. Imagination and discursive thought are based on cyclic processes of sensorimotor rehearsal. Rehearsal is a low-frequency process (3–6 Hz) and its content is accessible for review by high-frequency autoidentification processes (30–70 Hz). The succession mental images, words, or symbols is controlled by the motor system and is accessible for review by autoidentification processes. The interaction of sensorimotor rehearsal and autoidentification mechanisms allows us to form images, scenes, and dialogs, to observe and change them, creating a mobile and controlled world of conscious experience. The mechanisms of autoidentification and sensorimotor rehearsal explain the nature of a wide spectrum of the properties of conscious brain activity, including such still-cryptic phenomena as hypnosis and meditation.",V. Ya. Sergin,2021-06-23
Brain Temperature Influences Intracranial Pressure and Cerebral Perfusion Pressure After Traumatic Brain Injury: A CENTER-TBI Study,/article/10.1007/s12028-021-01294-1,"After traumatic brain injury (TBI), fever is frequent. Brain temperature (BT), which is directly linked to body temperature, may influence brain physiology. Increased body and/or BT may cause secondary brain damage, with deleterious effects on intracranial pressure (ICP), cerebral perfusion pressure (CPP), and outcome.","Tatiana Birg, Fabrizio Ortolano, ... Frederick A. Zeiler",2021-07-30
Brain Temperature Influences Intracranial Pressure and Cerebral Perfusion Pressure After Traumatic Brain Injury: A CENTER-TBI Study,/article/10.1007/s12028-021-01294-1,"After traumatic brain injury (TBI), fever is frequent. Brain temperature (BT), which is directly linked to body temperature, may influence brain physiology. Increased body and/or BT may cause secondary brain damage, with deleterious effects on intracranial pressure (ICP), cerebral perfusion pressure (CPP), and outcome.","Tatiana Birg, Fabrizio Ortolano, ... Frederick A. Zeiler",2021-07-30
Hardware implementation of radial-basis neural networks with Gaussian activation functions on FPGA,/article/10.1007/s00521-021-05706-3,"This article introduces a method for realizing the Gaussian activation function of radial-basis (RBF) neural networks with their hardware implementation on field-programmable gaits area (FPGAs). The results of modeling of the Gaussian function on FPGA chips of different families have been presented. RBF neural networks of various topologies have been synthesized and investigated. The hardware component implemented by this algorithm is an RBF neural network with four neurons of the latent layer and one neuron with a sigmoid activation function on an FPGA using 16-bit numbers with a fixed point, which took 1193 logic matrix gate (LUTs—LookUpTable). Each hidden layer neuron of the RBF network is designed on an FPGA as a separate computing unit. The speed as a total delay of the combination scheme of the block RBF network was 101.579 ns. The implementation of the Gaussian activation functions of the hidden layer of the RBF network occupies 106 LUTs, and the speed of the Gaussian activation functions is 29.33 ns. The absolute error is ± 0.005. The Spartan 3 family of chips for modeling has been used to get these results. Modeling on chips of other series has been also introduced in the article. RBF neural networks of various topologies have been synthesized and investigated. Hardware implementation of RBF neural networks with such speed allows them to be used in real-time control systems for high-speed objects.","Volodymyr Shymkovych, Sergii Telenyk, Petro Kravets",2021-03-13
Dataset of cortical activity recorded with high spatial resolution from anesthetized rats,/article/10.1038/s41597-021-00970-3,"Publicly available neural recordings obtained with high spatial resolution are scarce. Here, we present an electrophysiological dataset recorded from the neocortex of twenty rats anesthetized with ketamine/xylazine. The wideband, spontaneous recordings were acquired with a single-shank silicon-based probe having 128 densely-packed recording sites arranged in a 32 × 4 array. The dataset contains the activity of a total of 7126 sorted single units extracted from all layers of the cortex. Here, we share raw neural recordings, as well as spike times, extracellular spike waveforms and several properties of units packaged in a standardized electrophysiological data format. For technical validation of our dataset, we provide the distributions of derived single unit properties along with various spike sorting quality metrics. This large collection of in vivo data enables the investigation of the high-resolution electrical footprint of cortical neurons which in turn may aid their electrophysiology-based classification. Furthermore, the dataset might be used to study the laminar-specific neuronal activity during slow oscillation, a brain rhythm strongly involved in neural mechanisms underlying memory consolidation and sleep.","Csaba Horváth, Lili Fanni Tóth, ... Richárd Fiáth",2021-07-15
An intelligent computational approach of signal control in urban rail transit for vehicular communication,/article/10.1007/s00500-023-08353-z,"With the rise in popularity of vehicular communication in the modern period, vehicles not only provide convenience for people’s movement, but also create traffic congestion. Urban rail transit plays an increasingly important role in modern urban public transport. To alleviate traffic congestion, a novel intelligent transportation approach has been developed, allowing the intelligent computing technology to be applied to the city’s traffic signal management system, which is critical to solving the city’s traffic problem. The goal of this study is to optimize the signal management system of urban traffic in order to reduce economic losses caused by traffic congestion, such as pollution and energy loss, relieve traffic congestion, and increase traffic efficiency. This paper first describes the existing traffic situation before highlighting the critical role of intelligent computing in urban traffic signal regulation. It then covers fuzzy control, fuzzy neural networks, traffic flow, queuing theory, and car following theory in general. The fuzzy control system for an urban intersection is then presented, the green light phase and red light phase modules are evaluated, and the fuzzy control method is introduced into the traffic signal control system research. The software for controlling the urban traffic trunk line with a fuzzy neural network system is then detailed, and a robust optimization model is constructed. Finally, to prove the superiority of intelligent calculation approach adopted by this study, a specific case study is provided which is coupled with the robust optimization model for comparison. The experimental results of this paper show that the robust optimized-cellular transportation approach of this study is stable, can successfully manage vehicle delays, and increase traffic efficiency. It reduces the average vehicle delay by 15.97%, the average number of stops by 9.88%, and increases the passing traffic by 10.32%.","Cong Huang, Ying Huang",2023-05-16
Organization of the inputs and outputs of the mouse superior colliculus,/article/10.1038/s41467-021-24241-2,"The superior colliculus (SC) receives diverse and robust cortical inputs to drive a range of cognitive and sensorimotor behaviors. However, it remains unclear how descending cortical input arising from higher-order associative areas coordinate with SC sensorimotor networks to influence its outputs. Here, we construct a comprehensive map of all cortico-tectal projections and identify four collicular zones with differential cortical inputs: medial (SC.m), centromedial (SC.cm), centrolateral (SC.cl) and lateral (SC.l). Further, we delineate the distinctive brain-wide input/output organization of each collicular zone, assemble multiple parallel cortico-tecto-thalamic subnetworks, and identify the somatotopic map in the SC that displays distinguishable spatial properties from the somatotopic maps in the neocortex and basal ganglia. Finally, we characterize interactions between those cortico-tecto-thalamic and cortico-basal ganglia-thalamic subnetworks. This study provides a structural basis for understanding how SC is involved in integrating different sensory modalities, translating sensory information to motor command, and coordinating different actions in goal-directed behaviors.","Nora L. Benavidez, Michael S. Bienkowski, ... Hong-Wei Dong",2021-06-28
Promoting FAIR Data Through Community-driven Agile Design: the Open Data Commons for Spinal Cord Injury (odc-sci.org),/article/10.1007/s12021-021-09533-8,"The past decade has seen accelerating movement from data protectionism in publishing toward open data sharing to improve reproducibility and translation of biomedical research. Developing data sharing infrastructures to meet these new demands remains a challenge. One model for data sharing involves simply attaching data, irrespective of its type, to publisher websites or general use repositories. However, some argue this creates a ‘data dump’ that does not promote the goals of making data Findable, Accessible, Interoperable and Reusable (FAIR). Specialized data sharing communities offer an alternative model where data are curated by domain experts to make it both open and FAIR. We report on our experiences developing one such data-sharing ecosystem focusing on ‘long-tail’ preclinical data, the Open Data Commons for Spinal Cord Injury (odc-sci.org). ODC-SCI was developed with community-based agile design requirements directly pulled from a series of workshops with multiple stakeholders (researchers, consumers, non-profit funders, governmental agencies, journals, and industry members). ODC-SCI focuses on heterogeneous tabular data collected by preclinical researchers including bio-behaviour, histopathology findings and molecular endpoints. This has led to an example of a specialized neurocommons that is well-embraced by the community it aims to serve. In the present paper, we provide a review of the community-based design template and describe the adoption by the community including a high-level review of current data assets, publicly released datasets, and web analytics. Although odc-sci.org is in its late beta stage of development, it represents a successful example of a specialized data commons that may serve as a model for other fields.","Abel Torres-Espín, Carlos A. Almeida, ... Lana Zholudeva",2021-08-04
Data and Tools Integration in the Canadian Open Neuroscience Platform,/article/10.1038/s41597-023-01946-1,"We present the Canadian Open Neuroscience Platform (CONP) portal to answer the research community’s need for flexible data sharing resources and provide advanced tools for search and processing infrastructure capacity. This portal differs from previous data sharing projects as it integrates datasets originating from a number of already existing platforms or databases through DataLad, a file level data integrity and access layer. The portal is also an entry point for searching and accessing a large number of standardized and containerized software and links to a computing infrastructure. It leverages community standards to help document and facilitate reuse of both datasets and tools, and already shows a growing community adoption giving access to more than 60 neuroscience datasets and over 70 tools. The CONP portal demonstrates the feasibility and offers a model of a distributed data and tool management system across 17 institutions throughout Canada.","Jean-Baptiste Poline, Samir Das, ... Alan C. Evans",2023-04-06
